gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
1078,3,19640331,,I0003,ABBOTT LABORATORIES,ABT,1800
1300,3,19640331,,I0003,HONEYWELL INTERNATIONAL INC,HON,773840
1440,3,19640331,,I0003,AMERICAN ELECTRIC POWER CO,AEP,4904
2285,3,19640331,,I0003,BOEING CO,BA,12927
2403,3,19640331,,I0003,BRISTOL-MYERS SQUIBB CO,BMY,14272
2663,3,19640331,,I0003,CAMPBELL SOUP CO,CPB,16732
2817,3,19640331,,I0003,CATERPILLAR INC,CAT,18230
2991,3,19640331,,I0003,CHEVRON CORP,CVX,93410
3144,3,19640331,,I0003,COCA-COLA CO,KO,21344
3170,3,19640331,,I0003,COLGATE-PALMOLIVE CO,CL,21665
3413,3,19640331,,I0003,CONSOLIDATED EDISON INC,ED,1047862
3532,3,19640331,,I0003,CORNING INC,GLW,24741
3835,3,19640331,,I0003,DEERE & CO,DE,315189
3897,3,19640331,,I0003,DTE ENERGY CO,DTE,936340
4029,3,19640331,,I0003,DOMINION ENERGY INC,D,715957
4060,3,19640331,,I0003,DOWDUPONT INC,DWDP,1666700
4199,3,19640331,,I0003,EATON CORP PLC,ETN,1551182
4503,3,19640331,,I0003,EXXON MOBIL CORP,XOM,34088
4839,3,19640331,,I0003,FORD MOTOR CO,F,37996
5046,3,19640331,,I0003,GENERAL DYNAMICS CORP,GD,40533
5047,3,19640331,,I0003,GENERAL ELECTRIC CO,GE,40545
5234,3,19640331,,I0003,GOODYEAR TIRE & RUBBER CO,GT,42582
5439,3,19640331,,I0003,HALLIBURTON CO,HAL,45012
5597,3,19640331,,I0003,HERSHEY CO,HSY,47111
6066,3,19640331,,I0003,INTL BUSINESS MACHINES CORP,IBM,51143
6104,3,19640331,,I0003,INTL PAPER CO,IP,51434
6375,3,19640331,,I0003,KELLOGG CO,K,55067
6435,3,19640331,,I0003,KIMBERLY-CLARK CORP,KMB,55785
6502,3,19640331,,I0003,KROGER CO,KR,56873
7163,3,19640331,,I0003,S&P GLOBAL INC,SPGI,64040
7241,3,19640331,,I0003,CVS HEALTH CORP,CVS,64803
7257,3,19640331,,I0003,MERCK & CO,MRK,310158
7366,3,19640331,,I0003,ENTERGY CORP,ETR,65984
7435,3,19640331,,I0003,3M CO,MMM,66740
7585,3,19640331,,I0003,MOTOROLA SOLUTIONS INC,MSI,68505
7923,3,19640331,,I0003,NORFOLK SOUTHERN CORP,NSC,702165
7977,3,19640331,,I0003,XCEL ENERGY INC,XEL,72903
8099,3,19640331,,I0003,FIRSTENERGY CORP,FE,1031296
8247,3,19640331,,I0003,PPG INDUSTRIES INC,PPG,79879
8264,3,19640331,,I0003,PG&E CORP,PCG,1004980
8272,3,19640331,,I0003,SEMPRA ENERGY,SRE,1032208
8479,3,19640331,,I0003,PEPSICO INC,PEP,77476
8530,3,19640331,,I0003,PFIZER INC,PFE,78003
8539,3,19640331,,I0003,EXELON CORP,EXC,1109357
8543,3,19640331,,I0003,ALTRIA GROUP INC,MO,764180
8549,3,19640331,,I0003,CONOCOPHILLIPS,COP,1163165
8762,3,19640331,,I0003,PROCTER & GAMBLE CO,PG,80424
8810,3,19640331,,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,788784
8972,3,19640331,,I0003,RAYTHEON CO,RTN,1047122
9203,3,19640331,,I0003,ROCKWELL AUTOMATION,ROK,1024478
9846,3,19640331,,I0003,EDISON INTERNATIONAL,EIX,827052
9850,3,19640331,,I0003,SOUTHERN CO,SO,92122
10499,3,19640331,,I0003,TEXAS INSTRUMENTS INC,TXN,97476
10867,3,19640331,,I0003,UNION PACIFIC CORP,UNP,100885
10983,3,19640331,,I0003,UNITED TECHNOLOGIES CORP,UTX,101829
11456,3,19640331,,I0003,WEYERHAEUSER CO,WY,106535
11465,3,19640331,,I0003,WHIRLPOOL CORP,WHR,106640
11636,3,19640331,,I0003,XEROX CORP,XRX,108772
1995,3,19640331,20120313,I0003,CONSTELLATION ENERGY GRP INC,CEG,1004440
5229,3,19640331,20120730,I0003,GOODRICH CORP,GR,42542
5568,3,19640331,20130606,I0003,KRAFT HEINZ CO,KHC,1637459
8446,3,19640331,20131201,I0003,PENNEY (J C) CO,JCP,1166126
1408,3,19640331,20140430,I0003,BEAM INC,BEAM,789073
11446,3,19640331,20150701,I0003,MEADWESTVACO CORP,MWV,1159297
1356,3,19640331,20161031,I0003,ALCOA INC,AA.3,
8606,3,19640331,20170228,I0003,PITNEY BOWES INC,PBI,78814
1976,3,19640331,20170704,I0003,BAKER HUGHES INC,BHI,808362
4087,3,19640331,20170831,I0003,DU PONT (E I) DE NEMOURS,DD,30554
9667,3,19640630,,I0003,SHERWIN-WILLIAMS CO,SHW,89800
3650,3,19650331,,I0003,CUMMINS INC,CMI,26172
4321,3,19650331,,I0003,EMERSON ELECTRIC CO,EMR,32604
9465,3,19650331,,I0003,SCHLUMBERGER LTD,SLB,87347
1920,3,19670630,20150322,I0003,AVON PRODUCTS,AVP,8868
2574,3,19670930,,I0003,CSX CORP,CSX,277948
3121,3,19690331,,I0003,CLOROX CO/DE,CLX,21076
5071,3,19690331,,I0003,GENERAL MILLS INC,GIS,40704
10156,3,19690331,20121004,I0003,SUNOCO INC,SUN.1,95304
7881,3,19690630,,I0003,NEWMONT MINING CORP,NEM,1164727
7154,3,19700630,,I0003,MCDONALD'S CORP,MCD,63908
6730,3,19701231,,I0003,LILLY (ELI) & CO,LLY,59478
2086,3,19720930,,I0003,BAXTER INTERNATIONAL INC,BAX,10456
2111,3,19720930,,I0003,BECTON DICKINSON & CO,BDX,10795
6266,3,19730630,,I0003,JOHNSON & JOHNSON,JNJ,200406
5125,3,19731231,,I0003,GENUINE PARTS CO,GPC,40987
5606,3,19741231,,I0003,HP INC,HPQ,47217
11506,3,19750331,,I0003,WILLIAMS COS INC,WMB,107263
2044,3,19750630,20180102,I0003,BARD (C.R.) INC,BCR,9892
4988,3,19751231,20170601,I0003,TEGNA INC,TGNA,39899
6078,3,19760331,,I0003,INTL FLAVORS & FRAGRANCES,IFF,51253
1177,3,19760630,,I0003,AETNA INC,AET,1122304
1447,3,19760630,,I0003,AMERICAN EXPRESS CO,AXP,4962
2547,3,19760630,,I0003,CIGNA CORP,CI,701221
2968,3,19760630,,I0003,JPMORGAN CHASE & CO,JPM,19617
3505,3,19760630,,I0003,MOLSON COORS BREWING CO,TAP,24545
3980,3,19760630,,I0003,DISNEY (WALT) CO,DIS,1001039
4093,3,19760630,,I0003,DUKE ENERGY CORP,DUK,1326160
4517,3,19760630,,I0003,NEXTERA ENERGY INC,NEE,753308
6742,3,19760630,,I0003,LINCOLN NATIONAL CORP,LNC,59558
7647,3,19760630,,I0003,BANK OF AMERICA CORP,BAC,70858
8007,3,19760630,,I0003,WELLS FARGO & CO,WFC,72971
3024,3,19760630,20160118,I0003,CHUBB CORP,CB.1,20171
3813,3,19761231,,I0003,TARGET CORP,TGT,27419
6008,3,19761231,,I0003,INTEL CORP,INTC,50863
2154,3,19780930,20141204,I0003,BEMIS CO INC,BMS,11199
10519,3,19781231,,I0003,TEXTRON INC,TXT,217346
10405,3,19781231,20150701,I0003,ALLEGHENY TECHNOLOGIES INC,ATI,1018963
7750,3,19790331,20160417,I0003,TENET HEALTHCARE CORP,THC,70318
11060,3,19790630,,I0003,VF CORP,VFC,103379
11264,3,19791231,,I0003,WALGREENS BOOTS ALLIANCE INC,WBA,1618921
1487,3,19800331,,I0003,AMERICAN INTERNATIONAL GROUP,AIG,5272
4818,3,19800331,,I0003,FLUOR CORP,FLR,1124198
4598,3,19801231,,I0003,FEDEX CORP,FDX,1048911
8253,3,19801231,,I0003,PACCAR INC,PCAR,75362
1891,3,19810331,,I0003,AUTOMATIC DATA PROCESSING,ADP,8670
5256,3,19810630,,I0003,GRAINGER (W W) INC,GWW,277135
7085,3,19810630,,I0003,MASCO CORP,MAS,62996
3336,3,19810630,20151130,I0003,DXC TECHNOLOGY COMPANY,DXC,1688568
1722,3,19810729,,I0003,ARCHER-DANIELS-MIDLAND CO,ADM,7084
9411,3,19810930,20120628,I0003,HILLSHIRE BRANDS CO,HSH,23666
7116,3,19820331,,I0003,MATTEL INC,MAT,63276
11259,3,19820831,,I0003,WALMART INC,WMT,104169
9778,3,19820930,,I0003,SNAP-ON INC,SNA,91440
10016,3,19820930,,I0003,STANLEY BLACK & DECKER INC,SWK,93556
2435,3,19821031,,I0003,BROWN FORMAN CORP,BF.B,14693
1690,3,19821130,,I0003,APPLE INC,AAPL,320193
8068,3,19821231,,I0003,OCCIDENTAL PETROLEUM CORP,OXY,797468
9299,3,19821231,20170618,I0003,RYDER SYSTEM INC,R,85961
3362,3,19830831,,I0003,CONAGRA BRANDS INC,CAG,23217
6733,3,19830930,,I0003,L BRANDS INC,LB,701985
2136,3,19831130,,I0003,VERIZON COMMUNICATIONS INC,VZ,732712
9899,3,19831130,,I0003,AT&T INC,T,732717
6829,3,19840229,,I0003,LOWE'S COMPANIES INC,LOW,60667
8823,3,19840430,,I0003,PULTEGROUP INC,PHM,822416
1380,3,19840531,,I0003,HESS CORP,HES,4447
1161,3,19840630,20130922,I0003,ADVANCED MICRO DEVICES,AMD,2488
6774,3,19840731,,I0003,LOCKHEED MARTIN CORP,LMT,936468
4040,3,19840731,20121211,I0003,DONNELLEY (R R) & SONS CO,RRD,29669
5518,3,19840930,,I0003,HASBRO INC,HAS,46080
1988,3,19841031,,I0003,BALL CORP,BLL,9389
10190,3,19850131,20120430,I0003,SUPERVALU INC,SVU,95521
9258,3,19850131,20140818,I0003,ROWAN COMPANIES PLC,RDC,85408
1209,3,19850430,,I0003,AIR PRODUCTS & CHEMICALS INC,APD,2969
8030,3,19850430,,I0003,NUCOR CORP,NUE,73309
4145,3,19850531,,I0003,PERKINELMER INC,PKI,31791
7985,3,19850630,,I0003,NORTHROP GRUMMAN CORP,NOC,1133421
5742,3,19850731,,I0003,CENTERPOINT ENERGY INC,CNP,1130310
11672,3,19850930,,I0003,TJX COMPANIES INC,TJX,109198
4058,3,19851031,,I0003,DOVER CORP,DOV,29905
8358,3,19851130,,I0003,PARKER-HANNIFIN CORP,PH,76334
5878,3,19860228,,I0003,ILLINOIS TOOL WORKS,ITW,49826
6268,3,19860531,,I0003,JOHNSON CONTROLS INTL PLC,JCI,833444
4990,3,19860831,,I0003,GAP INC,GPS,39911
7922,3,19860831,,I0003,NORDSTROM INC,JWN,72333
7228,3,19861031,,I0003,MEDTRONIC PLC,MDT,1613103
2269,3,19861130,,I0003,BLOCK H & R INC,HRB,12659
10247,3,19861231,,I0003,SYSCO CORP,SYY,96021
3310,3,19870731,,I0003,CA INC,CA,356028
7065,3,19870831,,I0003,MARSH & MCLENNAN COS,MMC,62709
1913,3,19871231,,I0003,AVERY DENNISON CORP,AVY,8818
8304,3,19871231,20150830,I0003,PALL CORP,PLL,75829
5680,3,19880331,,I0003,HOME DEPOT INC,HD,354950
8245,3,19880430,,I0003,PNC FINANCIAL SVCS GROUP INC,PNC,713676
3243,3,19880531,,I0003,CITIGROUP INC,C,831001
10187,3,19880531,,I0003,SUNTRUST BANKS INC,STI,750556
7906,3,19881130,,I0003,NIKE INC,NKE,320187
4213,3,19890131,,I0003,ECOLAB INC,ECL,31462
7875,3,19890430,,I0003,NEWELL BRANDS INC,NWL,814453
10614,3,19890430,,I0003,TORCHMARK CORP,TMK,320335
10984,3,19890731,20130708,I0003,SPRINT CORP,S,101830
12142,3,19890831,,I0003,ORACLE CORP,ORCL,1341439
7904,3,19890831,20111212,I0003,NICOR INC,GAS.2,72020
2783,3,19890831,20120701,I0003,PROGRESS ENERGY INC,DUK8,1094093
9372,3,19891130,20170104,I0003,ST JUDE MEDICAL INC,STJ,203077
1878,3,19891201,,I0003,AUTODESK INC,ADSK,769397
7017,3,19910501,,I0003,MARATHON OIL CORP,MRO,101778
23978,3,19910501,20140701,I0003,UNITED STATES STEEL CORP,X,1163302
10860,3,19910919,,I0003,AMEREN CORP,AEE,1002910
1602,3,19920102,,I0003,AMGEN INC,AMGN,318154
15708,3,19920207,20150322,I0003,ALLERGAN INC,AGN.2,850693
25124,3,19920701,,I0003,PRAXAIR INC,PX,884905
6136,3,19921001,,I0003,INTERPUBLIC GROUP OF COS,IPG,51644
29028,3,19931001,,I0003,COSTCO WHOLESALE CORP,COST,909832
20779,3,19931201,,I0003,CISCO SYSTEMS INC,CSCO,858877
29392,3,19940101,,I0003,EASTMAN CHEMICAL CO,EMN,915389
9783,3,19940301,,I0003,KEYCORP,KEY,91576
12726,3,19940301,,I0003,UNUM GROUP,UNM,5513
12141,3,19940601,,I0003,MICROSOFT CORP,MSFT,789019
9882,3,19940701,,I0003,SOUTHWEST AIRLINES,LUV,92380
10903,3,19940701,,I0003,UNITEDHEALTH GROUP INC,UNH,731766
13714,3,19940901,,I0003,CBS CORP,CBS,813828
9699,3,19940901,20151118,I0003,SIGMA-ALDRICH CORP,SIAL,90185
7343,3,19940927,,I0003,MICRON TECHNOLOGY INC,MU,723125
25279,3,19950224,,I0003,BOSTON SCIENTIFIC CORP,BSX,885725
1704,3,19950316,,I0003,APPLIED MATERIALS INC,AMAT,6951
2019,3,19950331,,I0003,BANK OF NEW YORK MELLON CORP,BK,1390777
6781,3,19950510,,I0003,LOEWS CORP,L,60086
31846,3,19950530,,I0003,DARDEN RESTAURANTS INC,DRI,940944
10420,3,19950703,20111220,I0003,TELLABS INC,TLAB,317771
28349,3,19950713,,I0003,ALLSTATE CORP,ALL,899051
14590,3,19950731,,I0003,FREEPORT-MCMORAN INC,FCX,831259
12124,3,19950922,,I0003,MORGAN STANLEY,MS,895421
4611,3,19951108,,I0003,MACY'S INC,M,794367
8455,3,19951127,,I0003,PPL CORP,PPL,922224
3231,3,19951201,,I0003,COMERICA INC,CMA,28412
27914,3,19951201,,I0003,HUMANA INC,HUM,49071
6529,3,19951214,20140507,I0003,LSI CORP,LSI.1,703360
61739,3,19951220,,I0003,HARTFORD FINANCIAL SERVICES,HIG,874766
4640,3,19960308,,I0003,FIFTH THIRD BANCORP,FITB,35527
12053,3,19960328,20160907,I0003,EMC CORP/MA,EMC,790070
3221,3,19960423,,I0003,AON PLC,AON,315293
14489,3,19960906,20131028,I0003,DELL TECHNOLOGIES INC,7732B,1571996
10530,3,19970102,,I0003,THERMO FISHER SCIENTIFIC INC,TMO,97745
23809,3,19970102,,I0003,AUTOZONE INC,AZO,866787
12540,3,19970506,,I0003,ADOBE SYSTEMS INC,ADBE,796343
2751,3,19970527,,I0003,CARDINAL HEALTH INC,CAH,721371
13988,3,19970602,,I0003,SCHWAB (CHARLES) CORP,SCHW,316709
4423,3,19970619,,I0003,EQUIFAX INC,EFX,33185
1678,3,19970728,,I0003,APACHE CORP,APA,6769
11923,3,19970728,,I0003,ANADARKO PETROLEUM CORP,APC,773910
13341,3,19970804,,I0003,PROGRESSIVE CORP-OHIO,PGR,80661
5786,3,19970806,,I0003,HUNTINGTON BANCSHARES,HBAN,49196
10035,3,19970818,,I0003,STATE STREET CORP,STT,93751
6304,3,19970915,,I0003,KLA-TENCOR CORP,KLAC,319201
65417,3,19971007,,I0003,YUM BRANDS INC,YUM,1041061
11856,3,19971204,,I0003,BB&T CORP,BBT,92230
14824,3,19971218,,I0003,CINCINNATI FINANCIAL CORP,CINF,20286
4066,3,19971224,,I0003,OMNICOM GROUP,OMC,29989
12123,3,19980120,20130213,I0003,BIG LOTS INC,BIG,768835
7982,3,19980130,,I0003,NORTHERN TRUST CORP,NTRS,73124
9555,3,19980401,,I0003,SEALED AIR CORP,SEE,1012100
4885,3,19980429,,I0003,FRANKLIN RESOURCES INC,BEN,38777
28930,3,19980521,,I0003,MARRIOTT INTL INC,MAR,1048286
30990,3,19980701,,I0003,CAPITAL ONE FINANCIAL CORP,COF,927628
10121,3,19980701,20180604,I0003,NAVIENT CORP,NAVI,1593538
14477,3,19980717,,I0003,WASTE MANAGEMENT INC,WM,823768
25283,3,19980814,,I0003,KOHL'S CORP,KSS,885639
4674,3,19980828,,I0003,REGIONS FINANCIAL CORP,RF,1281761
8402,3,19981001,,I0003,PAYCHEX INC,PAYX,723531
14650,3,19981001,20130910,I0003,BMC SOFTWARE INC,BMC,835729
24216,3,19981002,,I0003,AES CORP,AES,874761
15521,3,19981007,20170917,I0003,STAPLES INC,SPLS,791519
12756,3,19981008,20160530,I0003,COCA-COLA EUROPEAN PARTNERS,CCE,1650107
9359,3,19981113,20150126,I0003,SAFEWAY INC,SWY,86144
3735,3,19981118,,I0003,DANAHER CORP,DHR,313616
13498,3,19981222,,I0003,CARNIVAL CORP/PLC (USA),CCL,815097
4723,3,19990104,,I0003,U S BANCORP,USB,36104
26011,3,19990104,20120102,I0003,COMPUWARE CORP,CPWR.1,859014
25056,3,19990104,20180619,I0003,TIME WARNER INC,TWX,1105705
7171,3,19990113,,I0003,MCKESSON CORP,MCK,927653
2884,3,19990325,,I0003,CENTURYLINK INC,CTL,18926
27845,3,19990412,,I0003,ALLERGAN PLC,AGN,1578845
3439,3,19990503,,I0003,CMS ENERGY CORP,CMS,811156
1449,3,19990528,,I0003,AFLAC INC,AFL,4977
61591,3,19990625,,I0003,NETAPP INC,NTAP,1002047
2184,3,19990630,,I0003,BEST BUY CO INC,BBY,764478
11228,3,19990701,,I0003,VULCAN MATERIALS CO,VMC,1396009
24800,3,19990722,,I0003,QUALCOMM INC,QCOM,804328
61552,3,19990813,20120930,I0003,LEXMARK INTL INC  -CL A,LXK,1001288
25338,3,19991001,20170725,I0003,BED BATH & BEYOND INC,BBBY,886158
1075,3,19991004,,I0003,PINNACLE WEST CAPITAL CORP,PNW,764622
1632,3,19991012,,I0003,ANALOG DEVICES,ADI,6281
12138,3,19991013,,I0003,PRICE (T. ROWE) GROUP,TROW,1113169
6649,3,19991018,,I0003,LEGGETT & PLATT INC,LEG,58492
4242,3,19991026,20120524,I0003,EL PASO CORP,EP,1066107
